,Penn State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Dara Taylor,8,13,7,11,1,2,5,7,3,5,4,1,0,6,1,22,0.38461538461538464,0.6666666666666666
1,Ariel Edwards,6,12,5,11,1,1,5,6,0,3,3,2,1,3,0,18,0.4166666666666667,1.0
2,Maggie Lucas,5,15,1,3,4,12,8,8,0,3,4,2,0,4,4,22,0.5333333333333333,1.0
3,Talia East,3,5,3,5,0,0,3,4,3,4,0,1,1,0,3,9,0.6,0.0
4,Tori Waldner,1,4,1,4,0,0,0,0,3,4,1,0,1,0,2,2,0.0,0.0
11,School Totals,27,58,21,41,6,17,23,27,13,24,14,11,3,14,13,83,0.39655172413793105,1.0
