,Indiana ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tyra Buss,8,21,7,15,1,6,6,9,0,7,5,2,0,4,1,23,0.2857142857142857,1.25
1,Amanda Cahill,5,8,3,5,2,3,2,4,1,5,2,0,2,3,3,14,0.25,0.6666666666666666
2,Alexis Gassion,1,10,1,8,0,2,2,4,0,5,2,0,0,1,0,4,0.2,2.0
3,Karlee McBride,4,7,3,4,1,3,1,3,0,1,1,3,1,2,3,10,0.14285714285714285,0.5
4,Jenn Anderson,2,4,2,4,0,0,1,2,2,1,0,0,0,1,2,5,0.25,0.0
9,School Totals,21,53,17,39,4,14,16,26,6,25,10,6,3,13,12,62,0.3018867924528302,0.7692307692307693
