,Texas A&M ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kayla Wells,7,11,6,8,1,3,3,3,0,0,0,0,0,1,2,18,0.2727272727272727,0.0
1,Shambria Washington,2,8,2,6,0,2,1,2,0,1,4,3,0,2,2,5,0.125,2.0
2,Chennedy Carter,13,34,6,22,7,12,2,2,0,4,2,1,0,3,4,35,0.058823529411764705,0.6666666666666666
3,Ciera Johnson,4,7,4,7,0,0,2,3,4,8,1,1,3,1,2,10,0.2857142857142857,1.0
4,N'dea Jones,4,7,4,7,0,0,0,0,2,5,3,0,1,0,4,8,0.0,0.0
7,School Totals,32,69,24,52,8,17,8,10,7,19,10,5,4,7,17,80,0.11594202898550725,1.4285714285714286
