,Georgia Tech ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kaela Davis,4,14,2,7,2,7,6,6,0,1,1,0,1,3,3,16,0.42857142857142855,0.3333333333333333
1,Sydney Wallace,9,22,7,9,2,13,0,0,0,2,1,1,0,1,1,20,0.0,1.0
2,Tyaunna Marshall,9,19,9,18,0,1,2,3,3,4,3,4,1,3,2,20,0.10526315789473684,1.0
3,Roddreka Rogers,2,6,2,6,0,0,0,0,3,1,2,0,0,0,0,4,0.0,0.0
4,Shayla Bivins,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0.0,0.0
11,School Totals,30,76,26,54,4,22,14,17,10,17,10,14,5,14,23,78,0.18421052631578946,0.7142857142857143
