,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
,Unnamed: 0_level_1,1,2,3,4,OT,2OT,T
0,UConn,16,18,10,17,16,14,91
1,NC State,14,14,15,18,16,10,87
