,Marist ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Corielle Yarde,5,14,3,7,2,7,3,7,5,3,2,2,0,0,2,15,0.21428571428571427,0.0
1,Rachele Fitz,2,10,2,10,0,0,6,8,5,4,3,1,0,1,3,10,0.6,3.0
2,Erica Allenspach,3,13,0,5,3,8,2,2,2,5,0,0,0,3,1,11,0.15384615384615385,0.0
3,Kate Oliver,3,9,3,8,0,1,0,0,1,4,0,0,3,1,1,6,0.0,0.0
4,Kristine Best,0,4,0,1,0,3,0,0,0,3,4,0,0,2,1,0,0.0,2.0
11,School Totals,13,60,8,34,5,26,11,17,13,21,9,3,4,10,12,42,0.18333333333333332,0.9
