,Georgetown ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Latia Magee,4,9,3,8,1,1,2,2,2,3,3,1,1,0,1,11,0.2222222222222222,0.0
1,Sugar Rodgers,3,13,1,4,2,9,0,0,1,5,0,1,0,1,2,8,0.0,0.0
2,Jaleesa Butler,4,11,4,11,0,0,0,0,4,5,1,1,3,2,3,8,0.0,0.5
3,Shanice Fuller,2,6,2,4,0,2,0,0,1,3,11,1,0,1,1,4,0.0,11.0
4,Monica McNutt,5,8,1,1,4,7,0,0,0,1,0,0,0,0,4,14,0.0,0.0
13,School Totals,24,68,16,43,8,25,6,8,17,29,16,5,5,7,18,62,0.08823529411764706,2.2857142857142856
