,Dayton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Makira Cook,9,20,7,18,2,2,1,2,2,2,4,0,0,4,1,21,0.05,1.0
1,Erin Whalen,1,8,0,3,1,5,0,0,1,3,2,0,0,5,4,3,0.0,0.4
2,Kyla Whitehead,4,8,3,7,1,1,0,0,0,3,2,1,0,1,2,9,0.0,2.0
3,Araion Bradshaw,1,3,1,3,0,0,0,0,0,5,3,0,0,0,2,2,0.0,0.0
4,Mariah Perez,1,3,1,3,0,0,0,0,2,3,0,1,2,0,3,2,0.0,0.0
9,School Totals,23,64,17,46,6,18,2,4,7,20,14,6,4,14,19,54,0.03125,1.0
