,Oregon State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sydney Wiese,5,14,2,5,3,9,0,0,0,1,7,2,0,3,2,13,0.0,2.3333333333333335
1,Jamie Weisner,14,20,7,10,7,10,3,5,1,9,1,0,0,1,3,38,0.15,1.0
2,Gabriella Hanson,3,11,3,6,0,5,0,0,2,5,6,5,0,0,1,6,0.0,0.0
3,Deven Hunter,3,8,3,7,0,1,3,4,6,6,2,0,0,3,3,9,0.375,0.6666666666666666
4,Ruth Hamblin,6,10,6,10,0,0,1,1,6,3,2,0,3,2,4,13,0.1,1.0
8,School Totals,33,65,23,40,10,25,7,10,16,25,22,7,4,10,15,83,0.1076923076923077,2.2
