,Texas A&M ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Courtney Walker,8,16,8,16,0,0,3,4,5,3,1,3,0,3,4,19,0.1875,0.3333333333333333
1,Jordan Jones,3,8,1,3,2,5,0,0,0,3,11,1,0,2,2,8,0.0,5.5
2,Courtney Williams,3,13,3,11,0,2,3,4,2,5,2,2,1,0,2,9,0.23076923076923078,0.0
3,Tori Scott,5,8,5,8,0,0,4,4,1,2,0,1,1,0,0,14,0.5,0.0
4,Karla Gilbert,5,9,5,9,0,0,4,4,3,5,0,1,5,2,4,14,0.4444444444444444,0.0
12,School Totals,27,70,25,63,2,7,14,20,20,25,18,11,11,12,17,70,0.2,1.5
