,North Dakota ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Madi Buck,8,14,4,8,4,6,2,2,2,7,0,2,3,2,4,22,0.14285714285714285,0.0
1,Kelsey Knox,0,6,0,3,0,3,0,2,0,1,4,2,0,3,1,0,0.0,1.3333333333333333
2,Mia Loyd,3,9,2,7,1,2,2,2,2,3,1,1,1,2,1,9,0.2222222222222222,0.5
3,Leah Szabla,2,6,2,5,0,1,4,4,0,0,0,1,0,2,4,8,0.6666666666666666,0.0
4,Allyssa Wall,0,2,0,2,0,0,1,2,1,1,0,0,0,2,4,1,0.5,0.0
9,School Totals,17,55,12,40,5,15,16,20,8,24,10,7,5,16,19,55,0.2909090909090909,0.625
