,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Christyn Williams,6,13,5,11,1,2,3,3,4,3,3,1,0,1,2,16,0.23076923076923078,3.0
1,Megan Walker,4,10,0,3,4,7,1,2,1,11,0,2,2,3,2,13,0.1,0.0
2,Napheesa Collier,4,13,4,12,0,1,4,6,3,10,6,1,2,2,2,12,0.3076923076923077,3.0
3,Crystal Dangerfield,4,8,2,4,2,4,0,0,1,4,3,0,0,4,3,10,0.0,0.75
4,Katie Lou Samuelson,7,13,0,1,7,12,8,9,1,1,2,0,0,3,4,29,0.6153846153846154,0.6666666666666666
6,School Totals,25,58,11,32,14,26,16,20,10,29,14,4,5,13,13,80,0.27586206896551724,1.0769230769230769
