,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Mariya Moore,4,7,2,2,2,5,4,7,2,8,2,2,0,1,4,14,0.5714285714285714,2.0
1,Briahanna Jackson,9,18,7,13,2,5,0,1,3,3,5,2,0,1,5,20,0.0,5.0
2,Myisha Hines-Allen,6,11,6,11,0,0,2,2,3,6,1,1,1,2,4,14,0.18181818181818182,0.5
3,Cortnee Walton,3,5,3,5,0,0,0,0,3,3,1,1,0,2,1,6,0.0,0.5
4,Arica Carter,1,3,0,0,1,3,0,0,0,2,5,0,0,2,4,3,0.0,2.5
9,School Totals,29,61,22,43,7,18,7,12,12,24,14,6,1,11,22,72,0.11475409836065574,1.2727272727272727
