,Rutgers ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Betnijah Laney,5,12,1,6,4,6,3,6,5,7,3,2,1,3,2,17,0.25,1.0
1,Kahleah Copper,7,12,7,12,0,0,7,11,3,5,1,1,0,4,3,21,0.5833333333333334,0.25
2,Tyler Scaife,7,17,7,14,0,3,7,8,0,3,4,1,0,4,2,21,0.4117647058823529,1.0
3,Briyona Canty,2,5,1,4,1,1,2,2,1,2,3,2,0,4,4,7,0.4,0.75
4,Ariel Butts,1,1,1,1,0,0,0,0,2,2,0,0,0,1,3,2,0.0,0.0
9,School Totals,26,55,19,42,7,13,20,29,11,29,15,6,4,19,23,79,0.36363636363636365,0.7894736842105263
