,South Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tyasha Harris,2,4,2,4,0,0,2,3,0,5,2,1,0,4,1,6,0.5,0.5
1,Allisha Gray,7,15,7,14,0,1,4,5,4,6,2,1,3,1,3,18,0.26666666666666666,2.0
2,A'ja Wilson,9,15,9,15,0,0,5,6,4,6,0,2,4,0,2,23,0.3333333333333333,0.0
3,Kaela Davis,4,12,4,10,0,2,2,2,1,5,1,1,0,2,4,10,0.16666666666666666,0.5
4,Bianca Cuevas-Moore,2,6,2,6,0,0,1,2,0,1,2,0,1,1,2,5,0.16666666666666666,2.0
10,School Totals,25,55,25,52,0,3,17,22,11,25,7,6,8,11,14,67,0.3090909090909091,0.6363636363636364
