,Prairie View ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Latia Williams,9,17,9,17,0,0,2,4,1,4,3,2,1,2,2,20,0.11764705882352941,1.5
1,Kiara Etienne,4,15,4,12,0,3,0,0,1,2,1,0,0,1,1,8,0.0,1.0
2,Larissa Scott,2,3,2,3,0,0,0,0,6,1,0,0,1,1,4,4,0.0,0.0
3,Jeanette Jackson,1,7,0,4,1,3,0,0,0,0,0,1,0,3,3,3,0.0,0.0
4,Michaela Burton,0,4,0,1,0,3,0,0,0,1,0,1,0,3,3,0,0.0,0.0
8,School Totals,19,54,15,40,4,14,5,8,9,11,7,6,3,17,18,47,0.09259259259259259,0.4117647058823529
