,Princeton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Addie Micir,3,10,0,1,3,9,4,4,1,3,0,0,0,2,1,13,0.4,0.0
1,Devona Allgood,4,10,4,10,0,0,0,2,1,4,0,0,0,2,2,8,0.0,0.0
2,Lauren Edwards,2,7,2,3,0,4,0,0,1,4,1,2,1,2,1,4,0.0,0.5
3,Lauren Polansky,0,1,0,1,0,0,0,0,1,1,2,0,1,4,2,0,0.0,0.5
4,Kate Miller,1,2,1,2,0,0,2,2,0,1,0,0,0,0,3,4,1.0,0.0
11,School Totals,16,43,12,25,4,18,13,16,8,21,11,5,2,15,14,49,0.3023255813953488,0.7333333333333333
