,South Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Destanni Henderson,5,15,5,12,0,3,2,2,0,2,1,3,0,1,0,12,0.13333333333333333,1.0
1,Brea Beal,1,3,0,0,1,3,0,0,2,9,2,2,1,0,1,3,0.0,0.0
2,Zia Cooke,5,14,5,10,0,4,0,0,1,4,2,1,0,2,0,10,0.0,1.0
3,Victaria Saxton,2,5,2,5,0,0,3,3,2,4,2,2,5,2,2,7,0.6,1.0
4,Aliyah Boston,6,13,6,11,0,2,7,9,3,4,0,1,1,1,4,19,0.5384615384615384,0.0
10,School Totals,22,62,21,47,1,15,14,18,12,36,8,10,8,11,11,59,0.22580645161290322,0.7272727272727273
