,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Breanna Stewart,8,15,6,10,2,5,3,4,4,9,5,3,3,5,0,21,0.2,1.0
1,Moriah Jefferson,4,10,1,5,3,5,0,0,0,1,9,1,1,2,2,11,0.0,4.5
2,Kia Nurse,2,5,1,4,1,1,6,6,0,0,2,0,0,0,0,11,1.2,0.0
3,Morgan Tuck,9,14,6,10,3,4,1,1,0,3,6,0,0,3,2,22,0.07142857142857142,2.0
4,Katie Lou Samuelson,3,6,0,0,3,6,0,0,0,6,0,0,1,2,1,9,0.0,0.0
9,School Totals,31,55,19,34,12,21,12,14,5,22,24,4,5,12,8,86,0.21818181818181817,2.0
