,Texas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brooke McCarty,5,12,1,2,4,10,1,2,1,3,0,0,0,0,2,15,0.08333333333333333,0.0
1,Ariel Atkins,8,13,5,9,3,4,0,0,1,1,2,3,0,1,4,19,0.0,2.0
2,Celina Rodrigo,1,5,1,1,0,4,0,0,0,2,7,3,0,1,1,2,0.0,7.0
3,Empress Davenport,1,5,0,1,1,4,2,2,2,4,2,0,0,3,4,5,0.4,0.6666666666666666
4,Imani Boyette,2,6,2,5,0,1,0,0,2,4,1,0,1,6,3,4,0.0,0.16666666666666666
9,School Totals,26,64,18,39,8,25,5,8,14,16,13,10,2,13,19,65,0.078125,1.0
