,George Washington ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lauren Chase,2,7,2,6,0,1,0,0,0,1,5,1,0,6,1,4,0.0,0.8333333333333334
1,Brianna Cummings,1,11,1,11,0,0,4,4,2,4,3,0,2,4,4,6,0.36363636363636365,0.75
2,Caira Washington,1,8,1,8,0,0,3,4,5,7,0,1,0,3,3,5,0.375,0.0
3,Jonquel Jones,5,15,5,12,0,3,10,12,5,8,0,0,6,4,3,20,0.6666666666666666,0.0
4,Hannah Schaible,4,10,4,8,0,2,3,5,3,2,2,1,2,3,5,11,0.3,0.6666666666666666
9,School Totals,15,58,15,48,0,10,21,27,17,28,12,4,11,21,20,51,0.3620689655172414,0.5714285714285714
