,Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ariel Massengale,4,12,2,6,2,6,6,8,0,3,4,1,0,3,1,16,0.5,1.3333333333333333
1,Bashaara Graves,8,17,8,17,0,0,5,6,10,4,3,1,0,3,0,21,0.29411764705882354,1.0
2,Andraya Carter,4,10,3,7,1,3,1,2,2,0,0,2,0,0,2,10,0.1,0.0
3,Cierra Burdick,5,12,5,11,0,1,4,4,0,10,3,0,0,2,3,14,0.3333333333333333,1.5
4,Jordan Reynolds,3,9,2,7,1,2,2,4,2,4,4,1,1,2,4,9,0.2222222222222222,2.0
8,School Totals,27,67,22,54,5,13,18,24,16,25,17,5,3,13,13,77,0.26865671641791045,1.3076923076923077
