,Louisiana State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Danielle Ballard,7,17,7,16,0,1,10,12,7,10,4,2,0,7,3,24,0.5882352941176471,0.5714285714285714
1,Theresa Plaisance,8,17,8,16,0,1,5,6,3,8,0,1,0,1,3,21,0.29411764705882354,0.0
2,Shanece McKinney,5,5,5,5,0,0,4,6,4,2,0,1,6,2,1,14,0.8,0.0
3,Jeanne Kenney,5,13,4,8,1,5,0,0,0,7,6,0,0,4,2,11,0.0,1.5
4,Raigyne Louis,3,5,3,5,0,0,0,0,1,2,1,0,0,1,2,6,0.0,1.0
10,School Totals,35,70,31,60,4,10,24,30,18,32,14,6,7,23,18,98,0.34285714285714286,0.6086956521739131
