,Buffalo ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Cierra Dillard,9,23,6,13,3,10,8,9,3,4,7,3,0,3,4,29,0.34782608695652173,2.3333333333333335
1,Summer Hemphill,4,9,4,8,0,1,1,1,1,5,2,4,0,3,3,9,0.1111111111111111,0.6666666666666666
2,Adebola Adeyeye,0,3,0,3,0,0,0,0,5,1,0,0,0,1,3,0,0.0,0.0
3,Theresa Onwuka,4,10,4,10,0,0,1,2,5,1,1,0,0,3,0,9,0.1,0.3333333333333333
4,Hanna Hall,0,1,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0.0,0.0
10,School Totals,25,76,20,52,5,24,17,20,22,19,12,8,0,14,25,72,0.2236842105263158,0.8571428571428571
