,California ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kianna Smith,9,14,7,11,2,3,0,0,1,3,8,1,0,3,2,20,0.0,2.6666666666666665
1,Asha Thomas,6,14,2,4,4,10,1,2,0,3,2,1,0,1,1,17,0.07142857142857142,2.0
2,Mikayla Cowling,3,9,2,7,1,2,0,0,0,5,2,1,1,3,3,7,0.0,0.6666666666666666
3,CJ West,5,9,5,9,0,0,4,6,2,4,0,1,1,3,4,14,0.4444444444444444,0.0
4,Penina Davidson,1,6,1,5,0,1,0,0,3,7,0,0,3,2,1,2,0.0,0.0
9,School Totals,25,56,18,39,7,17,5,8,6,25,14,4,5,14,20,62,0.08928571428571429,1.0
