,Villanova ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Maddy Siegrist,5,13,5,11,0,2,2,2,1,4,2,1,3,2,2,12,0.15384615384615385,1.0
1,Lior Garzon,4,14,1,6,3,8,0,0,0,3,0,1,1,1,1,11,0.0,0.0
2,Lucy Olsen,4,10,3,6,1,4,0,0,0,3,2,0,1,2,5,9,0.0,1.0
3,Brianna Herlihy,3,13,1,10,2,3,2,2,1,5,0,2,1,2,3,10,0.15384615384615385,0.0
4,Brooke Mullin,1,3,1,1,0,2,1,2,1,1,1,0,0,3,3,3,0.3333333333333333,0.3333333333333333
9,School Totals,19,58,13,37,6,21,5,7,6,17,8,8,6,12,21,49,0.08620689655172414,0.6666666666666666
