,Indiana ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ali Patberg,4,11,4,8,0,3,4,5,0,4,3,1,0,2,0,12,0.36363636363636365,1.5
1,Grace Berger,6,15,6,15,0,0,3,4,0,4,4,0,0,0,3,15,0.2,0.0
2,Aleksa Gulbe,1,6,1,4,0,2,1,2,2,7,1,0,1,5,5,3,0.16666666666666666,0.2
3,Nicole Cardano-Hillary,0,6,0,3,0,3,3,4,0,4,0,1,0,2,4,3,0.5,0.0
4,MacKenzie Holmes,9,15,9,15,0,0,2,2,2,6,0,0,5,0,2,20,0.13333333333333333,0.0
10,School Totals,20,55,20,46,0,9,13,17,5,26,9,2,6,9,15,53,0.23636363636363636,1.0
