,Florida State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittany Brown,3,8,2,5,1,3,3,4,7,2,2,3,0,3,2,10,0.375,0.6666666666666666
1,Leticia Romero,4,15,1,11,3,4,0,0,2,3,6,4,1,10,4,11,0.0,0.6
2,Emiah Bingley,1,5,1,3,0,2,2,2,1,0,3,0,0,0,3,4,0.4,0.0
3,Adut Bulgak,2,5,2,4,0,1,1,4,1,5,0,1,3,3,5,5,0.2,0.0
4,Ivey Slaughter,4,10,3,9,1,1,1,1,3,2,1,0,0,1,5,10,0.1,1.0
10,School Totals,21,60,15,46,6,14,10,18,16,21,12,10,5,21,24,58,0.16666666666666666,0.5714285714285714
