,Syracuse ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Cornelia Fondren,8,14,8,14,0,0,2,6,6,3,3,2,1,2,0,18,0.14285714285714285,1.5
1,Alexis Peterson,8,26,5,19,3,7,5,7,1,5,5,2,0,1,1,24,0.19230769230769232,5.0
2,Brianna Butler,8,17,7,8,1,9,0,0,3,1,2,2,0,1,3,17,0.0,2.0
3,Briana Day,1,5,1,5,0,0,3,8,4,5,1,1,1,1,3,5,0.6,1.0
4,Isabella Slim,1,3,0,1,1,2,0,0,0,5,0,0,2,0,5,3,0.0,0.0
9,School Totals,28,69,22,48,6,21,10,21,15,23,14,10,4,8,18,72,0.14492753623188406,1.75
