,Nebraska ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Natalie Romeo,5,15,0,2,5,13,0,0,1,2,2,1,0,5,1,15,0.0,0.4
1,Hailie Sample,6,9,6,9,0,0,2,4,3,4,0,0,2,1,2,14,0.2222222222222222,0.0
2,Brandi Jeffery,1,7,1,5,0,2,3,5,1,8,3,1,0,6,5,5,0.42857142857142855,0.5
3,Emily Cady,7,12,6,9,1,3,3,4,3,6,2,0,1,1,3,18,0.25,2.0
4,Tear'a Laudermill,4,11,4,9,0,2,1,1,0,0,4,0,0,3,4,9,0.09090909090909091,1.3333333333333333
8,School Totals,25,58,18,37,7,21,12,18,10,25,15,3,7,18,20,69,0.20689655172413793,0.8333333333333334
