,Minnesota ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Shae Kelley,7,12,6,11,1,1,2,2,1,7,0,4,1,7,3,17,0.16666666666666666,0.0
1,Shayne Mullaney,3,8,3,7,0,1,5,7,0,2,8,3,0,5,2,11,0.625,1.6
2,Amanda Zahui B.,7,11,7,9,0,2,7,8,8,14,5,0,1,7,2,21,0.6363636363636364,0.7142857142857143
3,Carlie Wagner,5,8,2,2,3,6,1,2,2,6,1,1,0,4,4,14,0.125,0.25
4,Mikayla Bailey,1,6,0,1,1,5,0,0,0,1,1,1,0,2,4,3,0.0,0.5
8,School Totals,26,52,21,37,5,15,15,19,11,31,15,9,2,26,15,72,0.28846153846153844,0.5769230769230769
