,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Mississippi State ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Brandi Brown,40,.500,.500,.714,.000,0.0,15.6,6.8,11.1,0.0,0.0,6.7,18.2,98,101
1,Anne Marie Lanning,40,.500,.500,.727,.000,4.9,3.1,4.1,21.1,1.4,0.0,21.4,17.0,92,103
2,Jackie Pickel,39,.393,.393,.857,.000,2.5,12.8,7.0,32.6,1.4,0.0,17.6,21.1,84,98
3,Chelsia Lymon,39,.505,.444,.667,.444,5.0,9.6,7.0,15.4,2.9,0.0,31.7,19.6,81,97
4,Alysha Clark,35,.450,.412,.059,.235,16.7,28.6,21.9,22.9,1.6,0.0,9.6,28.8,101,91
6,Dana Garrett,5,,,,,0.0,0.0,0.0,34.8,0.0,0.0,,0.0,252,107
7,Kortni Jones,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,107
8,Tina Stewart,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,107
9,School Totals,200,.465,.446,.569,.123,26.8,65.6,43.8,82.6,7.0,0.0,16.9,100.0,90.1,95.8
