,NC State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Miah Spencer,11,18,11,17,0,1,9,10,0,2,2,1,0,2,5,31,0.5,1.0
1,Jennifer Mathurin,1,10,0,4,1,6,0,0,1,8,1,0,0,3,5,3,0.0,0.3333333333333333
2,Dominique Wilson,7,12,6,10,1,2,12,12,0,1,1,4,0,3,3,27,1.0,0.3333333333333333
3,Ashley Williams,0,1,0,0,0,1,2,2,0,1,0,1,0,2,3,2,2.0,0.0
4,Chelsea Nelson,5,8,5,8,0,0,2,3,1,0,0,1,0,1,5,12,0.25,0.0
11,School Totals,26,58,24,47,2,11,26,29,4,18,4,7,0,14,27,80,0.4482758620689655,0.2857142857142857
