,Texas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brooke McCarty,7,13,4,6,3,7,6,7,0,3,2,1,0,2,1,23,0.46153846153846156,1.0
1,Joyner Holmes,6,10,5,9,1,1,3,3,5,4,2,1,0,5,3,16,0.3,0.4
2,Ariel Atkins,2,6,2,5,0,1,4,4,1,1,1,0,0,2,5,8,0.6666666666666666,0.5
3,Kelsey Lang,3,6,3,6,0,0,0,0,3,4,1,0,6,0,4,6,0.0,0.0
4,Brianna Taylor,1,1,1,1,0,0,0,0,0,1,0,1,0,5,3,2,0.0,0.0
10,School Totals,30,66,25,53,5,13,19,23,12,25,11,3,8,18,25,84,0.2878787878787879,0.6111111111111112
