,Baylor ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sarah Andrews,3,10,1,3,2,7,0,0,1,4,5,0,1,4,5,8,0.0,1.25
1,NaLyssa Smith,4,11,4,10,0,1,2,3,1,7,2,1,1,3,4,10,0.18181818181818182,0.6666666666666666
2,Jordan Lewis,2,12,1,5,1,7,0,0,3,5,5,0,0,5,3,5,0.0,1.0
3,Ja'Mee Asberry,1,9,0,1,1,8,2,2,0,5,1,2,0,2,2,5,0.2222222222222222,0.5
4,Queen Egbo,6,7,6,7,0,0,1,3,3,4,0,1,0,3,3,13,0.14285714285714285,0.0
7,School Totals,17,54,12,28,5,26,8,12,9,26,15,4,3,19,22,47,0.14814814814814814,0.7894736842105263
