,Prairie View ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Siarra Soliz,4,17,1,7,3,10,1,3,2,1,0,2,0,5,0,12,0.058823529411764705,0.0
1,Whitney Williams,0,4,0,4,0,0,0,0,0,2,0,0,0,0,5,0,0.0,0.0
2,Robin Jones,1,8,1,7,0,1,0,0,0,4,1,1,0,2,3,2,0.0,0.5
3,Trinity Robinson,1,2,1,1,0,1,0,0,1,1,0,1,0,5,3,2,0.0,0.0
4,Dominique Smith,3,16,3,13,0,3,0,0,1,0,0,1,0,1,2,6,0.0,0.0
9,School Totals,12,60,9,45,3,15,3,5,9,13,3,5,1,18,16,30,0.05,0.16666666666666666
