,Purdue ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittany Rayburn,2,9,1,5,1,4,3,4,1,3,0,0,1,1,1,8,0.3333333333333333,0.0
1,Dee Dee Williams,1,3,0,1,1,2,0,0,1,2,2,1,0,3,4,3,0.0,0.6666666666666666
2,Courtney Moses,2,9,2,6,0,3,1,2,0,4,0,2,1,0,2,5,0.1111111111111111,0.0
3,Drey Mingo,3,10,2,8,1,2,2,2,1,2,0,0,2,2,4,9,0.2,0.0
4,Chelsea Jones,0,2,0,2,0,0,0,0,1,3,1,0,1,5,1,0,0.0,0.2
10,School Totals,14,54,11,37,3,17,9,12,6,19,6,6,9,12,20,40,0.16666666666666666,0.5
