,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Katie Lou Samuelson,5,12,3,4,2,8,3,4,1,5,2,1,0,6,1,15,0.25,0.3333333333333333
1,Gabby Williams,7,12,7,12,0,0,3,6,1,8,6,1,0,2,3,17,0.25,3.0
2,Saniya Chong,4,6,1,1,3,5,5,6,1,4,3,0,0,2,0,16,0.8333333333333334,1.5
3,Napheesa Collier,10,16,9,14,1,2,6,9,6,8,5,0,3,0,5,27,0.375,0.0
4,Kia Nurse,3,5,0,1,3,4,0,0,0,0,0,0,0,2,3,9,0.0,0.0
6,School Totals,30,54,21,34,9,20,17,26,9,25,20,2,3,13,13,86,0.3148148148148148,1.5384615384615385
