,Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Glory Johnson,6,11,6,11,0,0,6,6,5,2,2,0,0,0,3,18,0.5454545454545454,0.0
1,Shekinna Stricklen,5,13,5,9,0,4,6,8,3,6,2,2,1,2,2,16,0.46153846153846156,1.0
2,Vicki Baugh,3,8,3,8,0,0,1,2,2,9,2,0,0,1,0,7,0.125,2.0
3,Alicia Manning,1,3,1,2,0,1,0,0,0,0,0,0,0,1,0,2,0.0,0.0
4,Briana Bass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
10,School Totals,29,66,24,48,5,18,21,24,13,24,15,6,1,8,12,84,0.3181818181818182,1.875
