,Dayton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Casey Nance,0,3,0,3,0,0,1,2,1,3,0,0,4,1,1,1,0.3333333333333333,0.0
1,Justine Raterman,2,9,1,6,1,3,2,2,1,3,0,0,0,3,1,7,0.2222222222222222,0.0
2,Kendel Ross,6,12,3,5,3,7,2,2,4,7,2,0,1,1,3,17,0.16666666666666666,2.0
3,Kristin Daugherty,4,13,2,5,2,8,0,0,1,6,2,0,3,4,2,10,0.0,0.5
4,Patrice Lalor,0,1,0,1,0,0,0,0,1,0,7,1,0,2,3,0,0.0,3.5
11,School Totals,23,59,14,33,9,26,12,19,11,31,13,3,10,15,14,67,0.2033898305084746,0.8666666666666667
