,Robert Morris ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Isabella Posset,0,6,0,3,0,3,0,2,0,1,0,1,0,5,3,0,0.0,0.0
1,Nneka Ezeigbo,4,9,4,9,0,0,1,2,3,6,0,2,0,2,4,9,0.1111111111111111,0.0
2,Nadege Pluviose,0,3,0,3,0,0,0,0,3,0,0,0,0,1,2,0,0.0,0.0
3,Nina Augustin,0,2,0,1,0,1,0,0,0,0,1,0,0,2,4,0,0.0,0.5
4,Nia Adams,0,3,0,3,0,0,1,2,0,0,1,0,0,0,0,1,0.3333333333333333,0.0
10,School Totals,12,52,8,36,4,16,6,10,10,17,5,7,3,14,18,34,0.11538461538461539,0.35714285714285715
