,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Mykasa Robinson,0,2,0,2,0,0,2,2,2,1,3,1,0,1,1,2,1.0,3.0
1,Kylee Shook,2,8,2,6,0,2,0,0,1,4,1,2,0,1,3,4,0.0,1.0
2,Jazmine Jones,1,4,1,4,0,0,0,0,2,4,0,0,3,5,3,2,0.0,0.0
3,Sam Fuehring,9,9,8,8,1,1,0,0,3,8,1,0,2,1,1,19,0.0,1.0
4,AD Durr,6,12,3,7,3,5,4,4,0,3,1,1,1,2,1,19,0.3333333333333333,0.5
10,School Totals,26,54,20,39,6,15,11,16,12,31,15,7,6,17,14,69,0.2037037037037037,0.8823529411764706
