,Iowa ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Caitlin Clark,9,15,7,9,2,6,7,7,0,6,10,3,0,4,3,27,0.4666666666666667,2.5
1,Kate Martin,2,4,1,2,1,2,0,0,0,7,4,1,3,1,2,5,0.0,4.0
2,Gabbie Marshall,4,7,1,1,3,6,2,2,0,1,5,3,0,0,1,13,0.2857142857142857,0.0
3,McKenna Warnock,3,8,2,3,1,5,0,0,1,2,3,1,1,2,2,7,0.0,1.5
4,Monika Czinano,6,6,6,6,0,0,6,6,0,7,1,0,0,1,4,18,1.0,1.0
11,School Totals,33,55,21,29,12,26,20,21,1,31,25,10,4,11,18,98,0.36363636363636365,2.272727272727273
