,Indiana ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ali Patberg,7,12,5,7,2,5,1,2,0,0,3,1,0,0,1,17,0.08333333333333333,0.0
1,Nicole Cardano-Hillary,1,8,0,3,1,5,2,2,0,5,2,0,0,2,2,5,0.25,1.0
2,Grace Berger,9,16,8,14,1,2,1,2,0,8,2,1,0,3,1,20,0.0625,0.6666666666666666
3,Aleksa Gulbe,2,8,1,6,1,2,2,2,4,6,0,1,3,0,1,7,0.25,0.0
4,MacKenzie Holmes,5,6,5,6,0,0,4,5,0,7,1,2,5,1,3,14,0.6666666666666666,1.0
13,School Totals,24,54,19,36,5,18,10,13,4,30,9,7,8,7,9,63,0.18518518518518517,1.2857142857142858
