,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Blair Schaefer,2,8,1,3,1,5,0,0,1,2,1,0,0,0,2,5,0.0,0.0
1,Teaira McCowan,8,12,8,12,0,0,5,7,8,10,0,2,2,2,2,21,0.4166666666666667,0.0
2,Victoria Vivians,9,20,8,18,1,2,4,4,0,6,4,0,0,1,2,23,0.2,4.0
3,Morgan William,7,17,7,16,0,1,3,4,0,3,2,0,0,0,1,17,0.17647058823529413,0.0
4,Roshunda Johnson,2,7,1,5,1,2,0,0,0,4,4,2,0,1,3,5,0.0,4.0
11,School Totals,28,67,25,57,3,10,12,15,10,26,12,4,2,5,13,71,0.1791044776119403,2.4
