,Michigan State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kalisha Keane,7,16,4,9,3,7,3,4,2,3,3,2,0,7,3,20,0.1875,0.42857142857142855
1,Brittney Thomas,4,13,4,12,0,1,2,2,2,3,4,3,1,5,4,10,0.15384615384615385,0.8
2,Cetera Washington,4,6,4,6,0,0,1,3,2,8,3,3,1,3,5,9,0.16666666666666666,1.0
3,Lykendra Johnson,4,13,4,12,0,1,0,0,8,3,1,1,0,5,4,8,0.0,0.2
4,Taylor Alton,3,9,0,0,3,9,0,0,1,2,2,1,0,0,4,9,0.0,0.0
9,School Totals,22,59,16,41,6,18,6,9,15,20,14,10,2,24,22,56,0.1016949152542373,0.5833333333333334
