,Florida Gulf Coast ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kaneisha Atwater,4,11,4,9,0,2,0,0,1,2,4,3,0,2,4,8,0.0,2.0
1,Jenna Cobb,5,13,1,6,4,7,2,2,2,7,1,1,0,1,2,16,0.15384615384615385,1.0
2,DyTiesha Dunson,1,5,1,2,0,3,0,0,0,1,4,2,1,0,3,2,0.0,0.0
3,Whitney Knight,4,11,1,3,3,8,0,2,0,11,3,3,3,3,3,11,0.0,1.0
4,Sarah Hansen,3,11,3,8,0,3,1,2,2,7,0,1,2,4,1,7,0.09090909090909091,0.0
9,School Totals,22,65,15,36,7,29,9,16,7,33,13,11,6,10,13,60,0.13846153846153847,1.3
