,Oklahoma State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittney Martin,4,11,4,11,0,0,1,3,4,11,4,2,1,2,0,9,0.09090909090909091,2.0
1,Tiffany Bias,1,9,1,5,0,4,4,6,1,1,8,2,0,8,4,6,0.4444444444444444,1.0
2,Liz Donohoe,3,12,1,5,2,7,1,3,1,3,2,2,0,1,3,9,0.08333333333333333,2.0
3,LaShawn Jones,5,5,5,5,0,0,0,0,2,4,0,0,0,3,2,10,0.0,0.0
4,Brittany Atkins,1,4,0,2,1,2,1,2,0,2,1,0,0,0,1,4,0.25,0.0
8,School Totals,24,65,18,43,6,22,7,14,11,32,20,8,2,15,15,61,0.1076923076923077,1.3333333333333333
