,North Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Stephanie Watts,10,16,3,5,7,11,2,2,1,2,3,0,3,2,4,29,0.125,1.5
1,Deja Kelly,1,13,1,10,0,3,5,5,1,4,5,0,0,0,2,7,0.38461538461538464,0.0
2,Janelle Bailey,8,19,8,18,0,1,0,0,6,3,0,1,1,1,2,16,0.0,0.0
3,Alyssa Ustby,3,11,2,8,1,3,0,0,2,3,1,1,0,1,1,7,0.0,1.0
4,Petra Holesinska,2,6,0,1,2,5,0,0,0,1,5,1,0,2,3,6,0.0,2.5
9,School Totals,26,70,16,46,10,24,9,9,12,18,15,4,5,6,15,71,0.12857142857142856,2.5
