,West Virginia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sarah Miles,5,8,5,8,0,0,1,2,3,4,6,5,0,4,2,11,0.125,1.5
1,Liz Repella,6,17,4,9,2,8,1,4,3,8,1,2,0,6,2,15,0.058823529411764705,0.16666666666666666
2,Asya Bussie,3,5,3,5,0,0,2,3,2,4,1,1,1,4,1,8,0.4,0.25
3,Korinne Campbell,1,8,1,3,0,5,2,3,2,5,0,0,0,1,1,4,0.25,0.0
4,Madina Ali,4,11,4,11,0,0,1,2,5,6,1,2,0,4,4,9,0.09090909090909091,0.25
8,School Totals,22,58,18,38,4,20,10,19,15,30,12,13,1,22,12,58,0.1724137931034483,0.5454545454545454
