,California ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Asha Thomas,6,9,0,0,6,9,0,0,0,3,1,0,0,1,0,18,0.0,1.0
1,Mikayla Cowling,3,8,2,2,1,6,0,0,0,3,5,2,0,12,3,7,0.0,0.4166666666666667
2,Mi'Cole Cayton,2,4,2,4,0,0,0,0,0,2,5,1,0,1,2,4,0.0,5.0
3,Kristine Anigwe,4,12,4,12,0,0,7,7,2,5,1,0,5,2,4,15,0.5833333333333334,0.5
4,Penina Davidson,1,1,1,1,0,0,0,0,2,1,0,0,0,2,0,2,0.0,0.0
8,School Totals,20,45,13,27,7,18,8,9,6,21,15,3,6,20,13,55,0.17777777777777778,0.75
