,Louisiana State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Rina Hill,4,8,2,5,2,3,0,0,0,1,2,2,0,1,1,10,0.0,2.0
1,Raigyne Louis,3,18,3,17,0,1,4,6,2,2,3,1,0,2,1,10,0.2222222222222222,1.5
2,Alexis Hyder,5,11,5,10,0,1,0,2,6,6,3,1,2,1,3,10,0.0,3.0
3,Chloe Jackson,5,15,5,12,0,3,0,0,2,0,0,1,0,3,2,10,0.0,0.0
4,Jasmine Rhodes,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0.0,1.0
8,School Totals,21,63,19,55,2,8,8,14,16,13,11,7,3,8,12,52,0.12698412698412698,1.375
