,NC State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Raina Perez,6,11,3,4,3,7,0,0,1,5,4,0,0,1,0,15,0.0,4.0
1,Kai Crutchfield,1,1,1,1,0,0,3,3,1,1,3,1,0,0,1,5,3.0,0.0
2,Jakia Brown-Turner,4,9,4,5,0,4,1,2,0,1,1,1,0,1,2,9,0.1111111111111111,1.0
3,Kayla Jones,8,9,7,8,1,1,1,1,0,5,3,1,0,1,1,18,0.1111111111111111,3.0
4,Elissa Cunane,2,3,2,3,0,0,0,0,0,2,1,1,0,1,2,4,0.0,1.0
13,School Totals,35,64,26,45,9,19,10,16,8,22,16,9,1,6,13,89,0.15625,2.6666666666666665
