,Kansas State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Serena Sundell,6,14,3,4,3,10,2,2,0,3,3,0,0,5,2,17,0.14285714285714285,0.6
1,Jaelyn Glenn,2,7,1,3,1,4,0,0,0,2,0,0,0,2,1,5,0.0,0.0
2,Brylee Glenn,2,6,1,2,1,4,3,4,0,1,0,4,0,1,3,8,0.5,0.0
3,Ayoka Lee,5,10,5,10,0,0,2,2,2,6,2,0,1,4,4,12,0.2,0.5
4,Emilee Ebert,1,2,0,0,1,2,0,0,0,2,2,0,0,1,0,3,0.0,2.0
10,School Totals,19,49,12,24,7,25,12,14,4,18,9,5,2,16,14,57,0.24489795918367346,0.5625
