,Creighton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Emma Ronsiek,4,10,3,6,1,4,1,1,0,2,3,2,1,3,4,10,0.1,1.0
1,Lauren Jensen,5,11,5,8,0,3,6,6,0,3,3,0,0,2,0,16,0.5454545454545454,1.5
2,Tatum Rembao,2,3,1,1,1,2,2,2,0,5,2,0,0,5,3,7,0.6666666666666666,0.4
3,Payton Brotzki,3,4,1,2,2,2,0,0,0,3,3,0,0,2,0,8,0.0,1.5
4,Carly Bachelor,1,1,1,1,0,0,0,0,2,1,0,0,0,1,0,2,0.0,0.0
11,School Totals,29,57,21,38,8,19,18,20,7,23,15,3,2,15,11,84,0.3157894736842105,1.0
