,Washington ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelsey Plum,9,25,8,17,1,8,5,6,0,3,7,2,0,1,3,24,0.2,7.0
1,Talia Walton,7,19,4,10,3,9,1,2,2,3,2,3,0,1,0,18,0.05263157894736842,2.0
2,Alexus Atchley,4,7,1,3,3,4,0,0,2,5,1,1,0,0,2,11,0.0,0.0
3,Katie Collier,3,7,3,7,0,0,0,4,4,4,2,3,3,2,2,6,0.0,1.0
4,Chantel Osahor,2,7,2,4,0,3,2,2,2,8,4,1,0,2,3,6,0.2857142857142857,2.0
10,School Totals,25,66,18,41,7,25,8,14,10,23,16,11,3,6,10,65,0.12121212121212122,2.6666666666666665
