,Pennsylvania ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sydney Stipanovich,8,17,8,17,0,0,0,0,1,12,1,0,0,3,0,16,0.0,0.3333333333333333
1,Michelle Nwokedi,3,11,3,10,0,1,4,6,2,5,4,0,6,2,3,10,0.36363636363636365,2.0
2,Kasey Chambers,2,9,0,0,2,9,0,0,0,3,4,1,0,3,4,6,0.0,1.3333333333333333
3,Lauren Whitlatch,2,7,0,0,2,7,0,0,0,1,0,0,0,2,2,6,0.0,0.0
4,Anna Ross,4,7,1,3,3,4,2,2,0,4,5,1,0,5,2,13,0.2857142857142857,1.0
11,School Totals,20,55,13,32,7,23,6,8,4,26,14,2,6,17,11,53,0.10909090909090909,0.8235294117647058
