,Dayton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Andrea Hoover,5,9,3,5,2,4,8,10,0,6,2,2,1,2,4,20,0.8888888888888888,1.0
1,Kelley Austria,5,10,4,5,1,5,0,0,0,8,1,2,1,1,2,11,0.0,1.0
2,Ally Malott,7,13,6,10,1,3,3,5,2,10,3,1,3,1,1,18,0.23076923076923078,3.0
3,Jodie Cornelie-Sigmundova,2,7,2,7,0,0,1,2,2,0,0,0,0,0,2,5,0.14285714285714285,0.0
4,Jenna Burdette,2,4,2,4,0,0,0,0,0,0,0,1,0,0,2,4,0.0,0.0
9,School Totals,28,58,23,44,5,14,17,26,6,26,10,7,6,7,20,78,0.29310344827586204,1.4285714285714286
