,Ohio State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jantel Lavender,13,22,13,21,0,1,4,4,2,9,3,0,1,2,3,30,0.18181818181818182,1.5
1,Samantha Prahalis,8,14,8,12,0,2,3,6,1,1,10,3,0,5,3,19,0.21428571428571427,2.0
2,Brittany Johnson,4,6,1,1,3,5,3,3,0,2,0,0,0,0,1,14,0.5,0.0
3,Tayler Hill,1,9,1,6,0,3,3,4,1,3,5,4,0,0,0,5,0.3333333333333333,0.0
4,Ashley Adams,1,3,1,3,0,0,0,0,0,2,3,0,2,1,1,2,0.0,3.0
9,School Totals,32,61,29,50,3,11,13,18,7,21,23,8,6,11,12,80,0.21311475409836064,2.090909090909091
