,Michigan ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Naz Hillmon,12,16,12,16,0,0,3,6,7,4,0,5,0,4,1,27,0.1875,0.0
1,Maddie Nolan,3,9,1,1,2,8,0,0,0,3,2,0,0,1,2,8,0.0,2.0
2,Danielle Rauch,2,7,2,5,0,2,1,2,2,6,1,0,0,3,1,5,0.14285714285714285,0.3333333333333333
3,Emily Kiser,0,3,0,3,0,0,1,2,3,7,3,0,0,0,2,1,0.3333333333333333,0.0
4,Laila Phelia,0,3,0,3,0,0,3,4,3,2,1,1,0,3,2,3,1.0,0.3333333333333333
12,School Totals,24,57,22,44,2,13,14,21,16,30,11,8,1,14,10,64,0.24561403508771928,0.7857142857142857
