,South Dakota ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Maddie Krull,5,12,4,9,1,3,2,3,0,3,4,1,0,0,1,13,0.16666666666666666,0.0
1,Chloe Lamb,7,14,5,10,2,4,4,4,0,6,4,2,0,2,2,20,0.2857142857142857,2.0
2,Liv Korngable,4,7,2,5,2,2,0,0,0,2,7,2,0,2,3,10,0.0,3.5
3,Kyah Watson,4,10,4,6,0,4,0,0,0,4,3,1,1,2,2,8,0.0,1.5
4,Hannah Sjerven,7,7,6,6,1,1,5,8,1,6,1,3,1,3,3,20,0.7142857142857143,0.3333333333333333
9,School Totals,29,52,23,38,6,14,11,15,2,25,19,9,2,10,14,75,0.21153846153846154,1.9
