,Baylor ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lauren Cox,9,18,9,17,0,1,0,0,2,14,1,1,2,2,0,18,0.0,0.5
1,Alexis Morris,6,16,6,14,0,2,5,6,2,4,5,2,0,1,2,17,0.3125,5.0
2,Juicy Landrum,6,11,3,6,3,5,2,2,2,1,4,3,0,1,1,17,0.18181818181818182,4.0
3,Kalani Brown,7,12,7,12,0,0,2,3,4,4,4,1,6,2,3,16,0.16666666666666666,2.0
4,Dekeiya Cohen,4,11,4,11,0,0,4,10,6,3,3,3,0,1,1,12,0.36363636363636365,3.0
10,School Totals,32,71,29,63,3,8,13,21,17,27,19,12,9,9,8,80,0.18309859154929578,2.111111111111111
