,Texas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brooke McCarty,6,10,3,5,3,5,0,0,1,9,5,1,0,5,1,15,0.0,1.0
1,Ariel Atkins,4,12,4,9,0,3,4,4,2,4,5,0,0,2,1,12,0.3333333333333333,2.5
2,Lashann Higgs,9,12,9,11,0,1,1,1,1,2,1,0,0,1,2,19,0.08333333333333333,1.0
3,Jatarie White,3,4,3,4,0,0,2,2,1,3,1,0,0,1,2,8,0.5,1.0
4,Joyner Holmes,5,7,5,7,0,0,0,0,1,4,1,0,0,2,3,10,0.0,0.5
11,School Totals,37,60,34,50,3,10,8,10,10,29,14,1,1,17,21,85,0.13333333333333333,0.8235294117647058
