,Arizona State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kianna Ibis,8,13,6,11,2,2,9,12,3,3,0,0,0,1,1,27,0.6923076923076923,0.0
1,Robbi Ryan,3,13,3,11,0,2,3,4,0,2,3,0,0,1,1,9,0.23076923076923078,3.0
2,Reili Richardson,1,4,1,3,0,1,0,0,0,3,3,1,0,1,1,2,0.0,3.0
3,Courtney Ekmark,0,4,0,3,0,1,1,2,0,0,1,2,0,2,3,1,0.25,0.5
4,Charnea Johnson-Chapman,1,3,1,3,0,0,0,0,0,1,0,0,0,2,5,2,0.0,0.0
10,School Totals,23,59,19,45,4,14,15,20,3,12,13,6,0,9,15,65,0.2542372881355932,1.4444444444444444
